sep=,
Time,x-Position,y-Position,SplitTimes,Distance,Collision
3.88,425,639,,
3.9,418,640,,
3.92,411,642,,
3.94,398,645,,
3.96,391,646,,
3.98,384,648,,
4,377,649,,
4.02,371,650,,
4.04,358,653,,
4.06,351,654,,
4.08,344,655,,
4.1,337,656,,
4.12,330,658,,
4.14,317,660,,
4.16,311,661,,
4.18,304,662,,
4.2,297,663,,
4.22,290,664,,
4.24,283,665,,
4.26,271,667,,
4.28,262,668,,
4.3,256,669,,
4.32,249,670,,
4.34,242,671,,
4.36,236,672,,
4.38,223,673,,
4.4,217,674,,
4.42,210,675,,
4.44,204,675,,
4.46,197,676,,
4.48,191,676,,
4.5,179,678,,
4.52,173,678,,
4.54,166,679,,
4.56,160,679,,
4.58,154,680,,
4.6,143,681,,
4.62,137,682,,
4.64,131,682,,
4.66,125,682,,
4.68,119,682,,
4.7,113,683,,
4.72,102,684,,
4.74,96,684,,
4.76,91,684,,
4.78,86,684,,
4.8,86,684,,
4.82,86,685,,
4.84,86,685,,
4.86,86,686,,
4.88,86,686,,
4.9,86,686,,
4.92,86,686,,
4.94,86,686,,
4.96,86,686,,
4.98,86,686,,
5,86,686,,
5.02,86,686,,
5.04,86,686,,
5.06,86,686,,
5.08,86,686,,
5.1,86,686,,
5.12,86,685,,
5.14,86,686,,
5.16,86,685,,
5.18,86,685,,
5.2,86,685,,
5.22,86,684,,
5.24,86,684,,
5.26,86,684,,
5.28,86,684,,
5.3,86,683,,
5.32,86,683,,
5.34,86,682,,
5.36,86,682,,
5.38,86,681,,
5.4,86,681,,
5.42,86,680,,
5.44,86,680,,
5.46,86,679,,
5.48,86,678,,
5.5,86,678,,
5.52,86,677,,
5.54,86,676,,
5.56,86,676,,
5.58,86,675,,
5.6,86,674,,
5.62,86,673,,
5.64,86,673,,
5.66,86,672,,
5.68,86,671,,
5.7,86,670,,
5.72,86,669,,
5.74,86,668,,
5.76,86,667,,
5.78,86,666,,
5.8,86,665,,
5.82,86,664,,
5.84,86,663,,
5.86,86,662,,
5.88,86,661,,
5.9,86,659,,
5.92,86,658,,
5.94,86,657,,
5.96,86,656,,
5.98,86,655,,
6,86,653,,
6.02,86,652,,
6.04,86,651,,
6.06,86,650,,
6.08,86,649,,
6.1,86,647,,
6.12,86,645,,
6.14,86,644,,
6.16,86,643,,
6.18,86,642,,
6.2,86,640,,
6.22,86,638,,
6.24,86,637,,
6.26,86,636,,
6.28,86,634,,
6.3,86,633,,
6.32,86,631,,
6.34,86,629,,
6.36,86,628,,
6.38,86,626,,
6.4,86,625,,
6.42,87,623,,
6.44,86,621,,
6.46,86,620,,
6.48,86,618,,
6.5,86,617,,
6.52,87,615,,
6.54,88,613,,
6.56,88,612,,
6.58,88,610,,
6.6,89,609,,
6.62,89,607,,
6.64,91,605,,
6.66,92,603,,
6.68,93,602,,
6.7,94,601,Wall_250_584,
6.72,95,601,,
6.74,96,601,,
