sep=,
Time,x-Position,y-Position,Collision,Collisionx,Collisiony
3.86,5,9,,0,0
3.88,5,9,,0,0
3.9,5,9,,0,0
3.92,5,9,,0,0
3.94,5,9,,0,0
3.96,5,9,,0,0
3.98,5,9,,0,0
4,5,9,,0,0
4.02,5,9,,0,0
4.04,5,9,,0,0
4.06,4,9,,0,0
4.08,4,9,,0,0
4.1,4,9,,0,0
4.12,4,9,,0,0
4.14,4,9,,0,0
4.16,4,9,,0,0
4.18,4,9,,0,0
4.2,4,9,,0,0
4.22,4,9,,0,0
4.24,4,9,,0,0
4.26,4,9,,0,0
4.28,4,9,,0,0
4.3,4,9,,0,0
4.32,4,9,,0,0
4.34,4,9,,0,0
4.36,4,9,,0,0
4.38,4,9,,0,0
4.4,4,9,,0,0
4.42,4,9,,0,0
4.44,4,9,,0,0
4.46,4,9,,0,0
4.48,4,9,,0,0
4.5,4,9,,0,0
4.52,4,9,,0,0
4.54,4,9,,0,0
4.56,4,9,,0,0
4.58,4,9,,0,0
4.6,4,9,,0,0
4.62,4,9,,0,0
4.64,4,9,,0,0
4.66,4,9,,0,0
4.68,4,9,,0,0
4.7,3,9,,0,0
4.72,3,9,,0,0
4.74,3,9,,0,0
4.76,3,9,,0,0
4.78,3,9,,0,0
4.8,3,9,,0,0
4.82,3,9,,0,0
4.84,3,9,,0,0
4.86,3,9,,0,0
4.88,3,9,,0,0
4.9,3,9,,0,0
4.92,3,9,,0,0
4.94,3,9,,0,0
4.96,3,9,,0,0
4.98,3,9,,0,0
5,3,9,,0,0
5.02,3,9,,0,0
5.04,3,9,,0,0
5.06,3,9,,0,0
5.08,3,9,,0,0
5.1,3,9,,0,0
5.12,3,9,,0,0
5.14,3,9,,0,0
5.16,3,9,,0,0
5.18,3,9,,0,0
5.2,3,9,,0,0
5.22,3,9,,0,0
5.24,3,9,,0,0
5.26,3,9,,0,0
5.28,3,9,,0,0
5.3,3,9,,0,0
5.32,3,9,,0,0
5.34,3,9,,0,0
5.36,3,9,,0,0
5.38,3,9,,0,0
5.4,3,9,,0,0
5.42,3,9,,0,0
5.44,3,9,,0,0
5.46,3,9,,0,0
5.48,3,9,,0,0
5.5,3,9,,0,0
5.52,3,9,,0,0
5.54,3,9,,0,0
5.56,3,9,,0,0
5.58,3,9,,0,0
5.6,3,9,,0,0
5.62,3,9,,0,0
5.64,3,9,,0,0
5.66,3,9,,0,0
5.68,3,9,,0,0
5.7,3,9,,0,0
5.72,2,9,,0,0
5.74,2,9,,0,0
5.76,2,9,,0,0
5.78,2,9,,0,0
5.8,2,9,,0,0
5.82,2,9,,0,0
5.84,2,9,,0,0
5.86,2,9,,0,0
5.88,2,9,,0,0
5.9,2,9,,0,0
5.92,2,9,,0,0
5.94,2,9,,0,0
5.96,2,8,,0,0
5.98,2,8,,0,0
6,2,8,,0,0
6.02,2,8,,0,0
6.04,2,8,,0,0
6.06,2,8,,0,0
6.08,2,8,,0,0
6.1,2,8,,0,0
6.12,2,8,,0,0
6.14,2,8,,0,0
6.16,2,8,,0,0
6.18,2,8,,0,0
6.2,2,8,,0,0
6.22,2,8,,0,0
6.24,2,8,,0,0
6.26,2,8,,0,0
6.28,2,8,,0,0
6.3,2,8,,0,0
6.32,2,8,,0,0
6.34,2,8,,0,0
6.36,2,8,,0,0
6.38,2,8,,0,0
6.4,2,8,,0,0
6.42,2,8,,0,0
6.44,2,8,,0,0
6.46,2,8,,0,0
6.48,2,8,,0,0
6.5,2,8,,0,0
6.52,2,8,,0,0
6.54,2,8,,0,0
6.56,2,8,,0,0
6.58,2,8,,0,0
6.6,2,8,,0,0
6.62,2,7,,0,0
6.64,2,7,,0,0
6.66,2,7,,0,0
6.68,2,7,,0,0
6.7,2,7,,0,0
6.72,2,7,,0,0
6.74,3,7,,0,0
6.76,3,7,,0,0
6.78,3,7,,0,0
6.8,3,7,,0,0
6.82,3,7,,0,0
6.84,3,7,,0,0
6.86,3,7,,0,0
6.88,3,7,,0,0
6.9,3,7,,0,0
6.92,3,7,,0,0
6.94,3,7,,0,0
6.96,3,7,,0,0
6.98,3,7,,0,0
7,3,7,,0,0
7.02,3,7,,0,0
7.04,3,7,,0,0
7.06,3,7,,0,0
7.08,3,7,,0,0
7.1,3,6,,0,0
7.12,3,6,,0,0
7.14,3,6,,0,0
7.16,3,6,,0,0
7.18,3,6,,0,0
7.2,3,6,,0,0
7.22,3,6,,0,0
7.24,3,6,,0,0
7.26,3,6,,0,0
7.28,3,6,,0,0
7.3,3,6,,0,0
7.32,3,6,,0,0
7.34,3,6,,0,0
7.36,3,6,,0,0
7.38,3,6,,0,0
7.4,3,6,,0,0
7.42,3,6,,0,0
7.44,3,6,,0,0
7.46,3,6,,0,0
7.48,3,6,,0,0
7.5,3,6,,0,0
7.52,3,6,,0,0
7.54,3,6,,0,0
7.56,3,6,,0,0
7.58,3,6,,0,0
7.6,3,5,,0,0
7.62,3,5,,0,0
7.64,3,5,,0,0
7.66,3,5,,0,0
7.68,3,5,,0,0
7.7,3,5,,0,0
7.72,3,5,,0,0
7.74,3,5,,0,0
7.76,3,5,,0,0
7.78,3,5,,0,0
7.8,3,5,,0,0
7.82,3,5,Wall_04_05,4,5
7.84,3,5,,0,0
7.86,3,5,,0,0
7.88,3,5,Wall_04_05,4,5
7.9,3,5,,0,0
7.92,3,5,,0,0
7.94,3,5,,0,0
7.96,3,5,,0,0
7.98,3,5,,0,0
8,3,5,,0,0
8.02,3,5,,0,0
8.04,3,5,,0,0
8.059999,3,5,,0,0
8.08,3,4,,0,0
8.099999,3,4,,0,0
8.12,3,4,,0,0
8.139999,3,4,,0,0
8.16,3,4,,0,0
8.179999,3,4,,0,0
8.2,3,4,,0,0
8.22,3,4,Wall_04_04,4,4
8.24,3,4,,0,0
8.26,3,4,,0,0
8.28,3,4,,0,0
8.3,3,4,,0,0
8.32,3,4,,0,0
8.34,3,4,,0,0
8.36,3,4,,0,0
8.38,3,4,,0,0
8.4,3,4,,0,0
8.42,3,4,,0,0
8.44,3,4,,0,0
8.46,3,4,,0,0
8.48,3,4,,0,0
8.5,3,4,,0,0
8.52,3,4,,0,0
8.54,3,4,,0,0
8.559999,3,4,,0,0
8.58,3,4,,0,0
8.599999,3,3,,0,0
8.62,3,3,,0,0
8.639999,3,3,,0,0
8.66,3,3,,0,0
8.679999,3,3,,0,0
8.7,3,3,,0,0
8.72,3,3,,0,0
8.74,3,3,,0,0
8.76,3,3,,0,0
8.78,3,3,,0,0
8.8,3,3,,0,0
8.82,3,3,,0,0
8.84,3,3,,0,0
8.86,3,3,,0,0
8.88,3,3,,0,0
8.9,3,3,Wall_04_03,4,3
8.92,3,3,,0,0
8.94,3,3,,0,0
8.96,3,3,,0,0
8.98,3,3,,0,0
9,4,3,,0,0
9.02,4,3,,0,0
9.04,4,3,,0,0
9.059999,4,3,,0,0
9.08,4,3,,0,0
9.099999,4,3,,0,0
9.12,4,3,,0,0
9.139999,4,3,,0,0
9.16,4,3,,0,0
9.179999,4,3,,0,0
9.2,4,3,,0,0
9.22,4,3,,0,0
9.24,4,3,,0,0
9.26,4,3,,0,0
9.28,4,3,,0,0
9.3,4,3,,0,0
9.32,4,3,,0,0
9.34,4,3,,0,0
9.36,4,3,,0,0
9.38,4,3,,0,0
9.4,4,3,,0,0
9.42,4,3,,0,0
9.44,4,3,,0,0
9.46,4,3,,0,0
9.48,4,3,,0,0
9.5,4,3,,0,0
9.52,4,3,,0,0
9.54,4,3,,0,0
9.559999,4,3,Wall_05_03,5,3
9.58,4,3,,0,0
9.599999,5,3,,0,0
9.62,5,3,,0,0
9.639999,5,3,,0,0
9.66,5,3,,0,0
9.679999,5,3,,0,0
9.7,5,3,,0,0
9.719999,5,3,,0,0
9.74,5,3,,0,0
9.76,5,3,,0,0
9.78,5,3,,0,0
9.8,5,3,,0,0
9.82,5,3,,0,0
9.84,5,3,,0,0
9.86,5,3,,0,0
9.88,5,3,,0,0
9.9,5,3,,0,0
9.92,5,3,,0,0
9.94,5,3,,0,0
9.96,5,3,,0,0
9.98,5,3,,0,0
10,5,3,,0,0
10.02,6,3,,0,0
10.04,6,3,,0,0
10.06,6,3,,0,0
10.08,6,3,Wall_06_03,6,3
10.1,6,3,,0,0
10.12,6,3,,0,0
10.14,6,3,,0,0
10.16,6,3,,0,0
10.18,6,3,,0,0
10.2,6,3,,0,0
10.22,6,3,,0,0
10.24,6,3,,0,0
10.26,6,3,,0,0
10.28,6,3,,0,0
