sep=,
Time,x-Position,y-Position,Collision,SplitTimes
13.96,200,112,,
13.98,197,107,,
14,194,103,,
14.02,189,94,,
14.04,187,90,,
14.06,184,86,,
14.08,182,82,,
14.1,179,77,,
14.12,177,73,,
14.14,173,65,,
14.16,171,61,,
14.18,169,57,,
14.2,166,53,,
14.22,164,49,,
14.24,161,41,,
14.26,159,36,,
14.28,157,32,,
14.3,155,29,,
14.32,153,25,,
14.34,151,21,,
14.36,148,13,,
14.38,147,9,,
14.4,145,5,,
14.42,143,1,,
14.44,141,-2,,
14.46,139,-10,,
14.48,138,-13,,
14.5,136,-17,,
14.52,135,-21,,
14.54,133,-24,,
14.56,131,-32,,
14.58,130,-35,,
14.6,128,-39,,
14.62,127,-42,,
14.64,126,-46,,
14.66,125,-49,,
14.68,123,-56,,
14.7,122,-59,,
14.72,121,-63,,
14.74,120,-66,,
14.76,118,-70,,
14.78,117,-76,,
14.8,116,-79,,
14.82,115,-82,,
14.84,114,-86,,
14.86,113,-89,,
14.88,112,-95,,
14.9,111,-98,,
14.92,111,-101,,
14.94,110,-104,,
14.96,109,-107,,
14.98,108,-110,,
15,108,-116,,
15.02,107,-119,,
15.04,106,-122,,
15.06,106,-125,,
15.08,105,-128,,
15.1,105,-133,,
15.12,104,-136,,
15.14,104,-139,,
15.16,103,-141,,
15.18,103,-144,,
15.2,102,-149,,
15.22,102,-152,,
15.24,102,-155,,
15.26,101,-157,,
15.28,101,-160,,
15.3,100,-162,,
15.32,100,-167,,
15.34,100,-170,,
15.36,100,-172,,
15.38,100,-174,,
15.4,99,-177,,
15.42,100,-181,,
15.44,99,-184,,
15.46,99,-186,,
15.48,99,-188,,
15.5,99,-190,,
15.52,100,-195,,
15.54,99,-197,,
15.56,99,-199,,
15.58,99,-201,,
15.6,99,-203,,
15.62,99,-205,,
15.64,100,-209,,
15.66,100,-211,,
15.68,100,-213,,
15.7,100,-215,,
15.72,100,-216,,
15.74,101,-220,,
15.76,101,-222,,
15.78,101,-224,,
15.8,102,-225,,
15.82,102,-227,,
15.84,103,-230,,
15.86,103,-232,,
15.88,103,-234,,
15.9,104,-235,,
15.92,104,-237,,
15.94,104,-238,,
