sep=,
Time,x-Position,y-Position,Collision
13.66,2,6,
13.68,2,6,
13.7,2,6,
13.72,2,6,
13.74,2,6,
13.76,2,6,
13.78,2,6,
13.8,2,6,
13.82,2,6,
13.84,2,6,
13.86,2,6,
13.88,2,6,
13.9,2,6,
13.92,2,6,
13.94,2,6,
13.96,2,6,
13.98,2,6,
14,2,6,
14.02,2,6,
14.04,2,6,
14.06,2,6,
14.08,2,6,
14.1,2,6,
14.12,2,6,
14.14,2,6,
14.16,2,6,
14.18,1,6,
14.2,1,6,
14.22,1,6,
14.24,1,6,
14.26,1,6,
14.28,1,6,
14.3,1,6,
14.32,1,6,
14.34,1,6,
14.36,1,6,
14.38,1,6,
14.4,1,6,
14.42,1,6,
14.44,1,6,Plane (176)
14.46,1,6,
14.48,1,6,
14.5,1,6,
14.52,1,6,
14.54,1,6,
14.56,1,6,
14.58,1,6,Cube
14.6,1,6,
14.62,1,6,Ground
14.64,1,6,
14.66,1,6,
14.68,1,6,
14.7,1,5,
14.72,1,5,
14.74,1,5,
14.76,1,5,
14.78,1,5,
14.8,1,5,
14.82,1,5,
14.84,1,5,
14.86,1,5,Ground
14.88,1,5,
14.9,1,5,
14.92,1,5,
14.94,1,5,
14.96,1,5,
14.98,1,5,
15,1,5,
15.02,1,5,
15.04,1,5,
15.06,1,5,
15.08,1,5,
15.1,1,5,
15.12,1,5,
15.14,1,5,Plane (190)
15.16,1,5,
15.18,1,5,
15.2,1,5,
15.22,1,5,
15.24,1,5,
15.26,1,5,
15.28,1,5,
15.3,1,5,
15.32,1,5,
15.34,1,5,
15.36,1,5,
15.38,1,5,
15.4,1,5,
15.42,1,5,
15.44,1,5,
15.46,1,4,,
15.48,1,4,,
15.5,1,4,,
15.52,1,4,,
15.54,1,4,,
15.56,1,4,,
15.58,1,4,,
15.6,1,4,,
15.62,1,4,,
15.64,1,4,Plane (191),
15.66,1,4,,
15.68,1,4,,
15.7,1,4,,
15.72,1,4,,
15.74,1,4,,
15.76,1,4,,
15.78,1,4,,
15.8,1,4,,
15.82,1,4,,
15.84,1,4,,
15.86,1,4,,
15.88,1,4,,
15.9,1,4,,
15.92,1,4,,
15.94,1,3,,
15.96,1,3,,
15.98,1,3,,
16,1,3,,
16.02,1,3,,
16.04,1,3,,
16.06,1,3,,
16.08,1,3,,
16.1,1,3,,
16.12,1,3,,
16.14,1,3,,
16.16,1,3,,
16.18,1,3,,
16.2,1,3,,
16.22,1,3,,
16.24,1,3,,
16.26,1,3,,
16.28,1,3,,
16.3,1,3,,
16.32,1,3,,
16.34,1,3,,
16.36,1,3,,
16.38,1,3,,
16.4,1,3,,
16.42,1,3,,
16.44,1,3,,
16.46,2,2,,
16.48,2,2,,
16.5,2,2,,
16.52,2,2,,
16.54,2,2,,
16.56,2,2,,
16.58,2,2,,
16.6,2,2,,
16.62,2,2,,
16.64,2,2,,
16.66,2,2,,
16.68,2,2,,
16.7,2,2,,
16.72,2,2,,
16.74,2,2,Box001,
16.76,2,2,,
16.78,2,2,,
16.8,2,2,,
16.82,2,2,,
16.84,2,2,,
16.86,2,2,,
16.88,2,2,,
16.9,2,2,,
16.92,2,2,,
16.94,2,2,,
16.96,2,2,,
16.98,2,2,,
17,2,2,,
17.02,2,2,,
17.04,2,2,,
17.06,2,2,,
17.08,2,2,,
17.1,2,2,,
17.12,2,2,,
17.14,2,2,,
17.16,2,2,,
17.18,2,2,,
17.2,2,2,,
17.22,2,2,,
17.24,2,2,,
17.26,2,2,,
17.28,2,2,,
17.3,2,2,,
17.32,2,2,,
17.34,2,2,,
17.36,2,2,,
17.38,2,2,,
17.4,2,2,,
17.42,2,2,,
17.44,2,2,,
17.46,2,2,,
17.48,2,2,,
17.5,2,2,,
17.52,2,2,Plane (178),
17.54,2,2,,
17.56,2,2,,
17.58,2,2,,
17.6,2,2,,
17.62,2,2,,
17.64,2,2,,
17.66,2,2,,
17.68,2,2,,
17.7,2,2,,
17.72,2,2,,
17.74,2,2,,
17.76,2,2,,
17.78,2,2,Ground,
17.8,2,2,Plane (178),
17.82,2,2,Ground,
17.84,2,2,Plane (178),
17.86,2,2,,
17.88,2,2,,
17.9,2,2,,
17.92,2,2,Plane (178),
17.94,3,2,,
17.96,3,2,Plane (178),
17.98,3,2,,
18,3,2,,
18.02,3,2,,
18.04,3,2,,
18.06,3,2,,
18.08,3,2,,
18.1,3,2,,
18.12,3,2,Box001,
18.14,3,2,,
18.16,3,2,,
18.18,3,2,,
18.2,3,2,,
18.22,3,2,,
18.24,3,2,,
18.26,3,2,,
18.28,3,2,Box001,
18.3,3,2,,
18.32,4,2,,
18.34,4,2,,
18.36,4,2,,
18.38,4,2,,
18.4,4,2,,
18.42,4,2,,
18.44,4,2,,
18.46,4,2,,
18.48,4,2,Box001,
18.5,4,2,,
18.52,4,2,,
18.54,4,2,,
18.56,4,2,,
18.58,4,2,,
18.6,4,2,,
18.62,4,2,,
18.64,5,2,,
18.66,5,2,,
18.68,5,2,,
18.7,5,2,,
18.72,5,2,,
18.74,5,2,,
18.76,5,2,,
18.78,5,2,,
18.8,5,2,,
18.82,5,2,,
18.84,5,2,,
18.86,5,2,,
18.88,5,2,,
18.9,5,2,,
18.92,6,2,,
18.94,6,2,,
18.96,6,2,,
18.98,6,2,,
19,6,2,,
19.02,6,2,,
19.04,6,2,,
19.06,6,2,,
19.08,6,2,Box001,
19.1,6,2,,
19.12,6,2,,
19.14,6,2,,
19.16,6,2,,
19.18,6,2,,
19.2,6,2,,
19.22,6,2,,
19.24,6,2,,
19.26,6,2,,
19.28,7,2,,
19.3,7,2,,
19.32,7,2,,
19.34,7,2,,
19.36,7,2,,
19.38,7,2,,
19.4,7,2,,
19.42,7,2,,
19.44,7,2,,
19.46,7,2,Cube,
19.48,7,2,,
19.5,7,2,,
19.52,7,2,Ground,
19.54,7,2,,
19.56,7,2,,
19.58,7,2,,
19.6,7,2,,
19.62,7,2,,
19.64,7,2,,
19.66,7,2,,
19.68,7,2,,
19.7,7,2,Cube,
19.72,7,2,,
19.74,7,2,,
19.76,7,2,,
19.78,7,2,,
19.8,7,2,,
19.82,7,2,,
19.84,7,2,,
19.86,7,2,,
19.88,7,2,,
19.9,7,2,,
19.92,7,2,,
19.94,7,2,,
19.96,7,2,,
19.98,7,2,,
20,7,2,,
20.02,7,2,Cube,
20.04,7,2,,
20.06,7,2,,
20.08,7,2,,
20.1,7,2,Box001,
20.12,7,2,,
20.14,7,2,,
20.16,7,2,,
20.18,7,2,,
20.2,7,2,,
20.22,7,2,,
20.24,7,2,,
20.26,7,2,,
20.28,7,2,Box001,
20.3,7,2,,
20.32,7,2,,
20.34,7,2,Cube,
20.36,7,2,,
20.38,7,2,,
20.4,7,2,,
20.42,7,2,,
20.44,7,2,,
20.46,7,2,,
20.48,7,2,,
20.5,7,2,Cube,
20.52,7,2,,
20.54,7,2,,
20.56,7,2,,
20.58,7,2,,
20.6,7,2,,
20.62,7,2,Box001,
20.64,7,2,,
20.66,7,2,Box001,
20.68,7,2,,
20.7,7,2,,
20.72,7,2,,
20.74,7,2,,
20.76,7,2,Box001,
20.78,7,2,,
20.8,7,2,,
20.82,7,2,,
20.84,7,2,,
20.86,7,2,,
20.88,7,2,,
20.9,7,2,,
20.92,7,2,,
20.94,7,2,,
20.96,7,2,,
20.98,7,2,,
21,7,2,,
21.02,7,2,,
21.04,7,2,,
21.06,7,2,,
21.08,7,2,,
21.1,7,2,,
21.12,7,2,,
21.14,7,2,,
21.16,7,2,,
21.18,7,2,,
21.2,7,2,,
21.22,7,2,,
21.24,7,2,Cube,
21.26,7,2,,
21.28,7,2,,
21.3,7,2,,
21.32,7,2,,
21.34,7,2,,
21.36,7,2,,
21.38,7,2,,
21.4,7,2,,
21.42,7,2,,
21.44,7,2,,
21.46,7,2,,
21.48,7,2,,
21.5,7,2,,
21.52,7,2,,
21.54,7,2,,
21.56,7,2,,
21.58,7,2,,
21.6,7,2,,
21.62,7,2,,
21.64,7,2,,
21.66,7,2,,
21.68,7,2,,
21.7,7,2,,
21.72,7,2,,
21.74,7,2,,
21.76,7,2,,
21.78,7,2,,
21.8,7,2,,
21.82,6,2,,
21.84,6,2,,
21.86,6,2,,
21.88,6,2,,
21.9,6,2,,
21.92,6,2,,
21.94,6,2,,
21.96,6,2,,
21.98,6,2,,
22,6,2,,
22.02,6,2,,
22.04,6,2,,
22.06,6,2,,
22.08,6,2,,
22.1,6,2,,
22.12,6,2,,
22.14,6,2,,
22.16,6,2,,
22.18,6,2,,
22.2,6,2,,
22.22,6,2,,
22.24,6,2,,
22.26,6,2,,
22.28,6,2,,
22.3,6,2,,
22.32,6,2,,
22.34,6,2,,
22.36,6,2,,
22.38,6,2,,
22.4,6,2,,
22.42,6,2,,
22.44,6,2,,
22.46,6,2,,
22.48,5,2,,
22.5,5,2,,
22.52,5,2,,
22.54,5,2,,
22.56,5,2,,
22.58,5,2,,
22.6,5,2,,
22.62,5,2,,
22.64,5,2,,
22.66,5,2,,
22.68,5,2,,
22.7,5,2,,
22.72,5,2,,
22.74,5,2,,
22.76,5,2,,
22.78,5,2,,
22.8,5,2,,
22.82,5,2,,
22.84,5,2,,
22.86,5,2,,
22.88,5,2,,
22.9,5,2,,
22.92,5,2,Box001,
22.94,5,1,,
22.96,5,1,,
22.98,5,1,,
23,5,1,,
23.02,5,1,,
23.04,5,1,,
23.06,5,1,,
23.08,4,1,,
23.1,4,1,,
23.12,4,1,,
23.14,4,1,,
23.16,4,1,,
23.18,4,1,,
23.2,4,1,,
23.22,4,1,,
23.24,4,1,,
23.26,4,1,,
23.28,4,1,,
23.3,4,1,,
23.32,4,1,,
23.34,4,1,,
23.36,4,1,,
23.38,4,1,,
23.4,4,1,,
23.42,4,1,,
23.44,4,1,Box001,
23.46,4,1,,
23.48,4,1,,
23.5,4,1,,
23.52,4,1,,
23.54,4,0,,
23.56,4,0,,
23.58,4,0,,
23.6,4,0,,
23.62,4,0,,
23.64,4,0,,
23.66,4,0,,
23.68,4,0,,
23.7,4,0,,
23.72,4,0,,
23.74,4,0,Box001,
23.76,4,0,,
23.78,4,0,,
23.8,4,0,,
23.82,4,0,,
23.84,4,0,,
23.86,4,0,,
23.88,4,0,,
23.9,4,0,,
23.92,4,0,,
23.94,4,0,,
23.96,4,0,,
23.98,4,0,,
24,4,0,,
24.02,4,0,,
24.04,4,0,,
24.06,4,0,,
24.08,4,0,,
24.1,4,0,,
24.12,4,0,,
24.14,4,0,,
24.16,4,0,,
24.18,5,0,,
24.2,5,0,,
24.22,5,0,,
24.24,5,0,,
24.26,5,0,,
24.28,5,-1,,
24.3,5,-1,,
24.32,5,-1,,
24.34,5,-1,,
24.36,5,-1,,
24.38,5,-1,,
24.4,5,-1,,
24.42,5,-1,,
24.44,5,-1,,
24.46,5,-1,,
24.48,5,-1,,
24.5,5,-1,,
24.52,5,-1,,
24.54,5,-1,,
24.56,5,-1,,
24.58,5,-1,,
24.6,5,-1,,
24.62,5,-1,,
24.64,5,-1,,
24.66,5,-1,,
24.68,5,-1,,
24.7,5,-1,,
24.72,5,-1,,
24.74,5,-1,,
24.76,5,-1,,
24.78,5,-1,,
24.8,5,-1,,
24.82,5,-1,,
24.84,5,-2,,
24.86,5,-2,,
24.88,5,-2,,
24.9,5,-2,,
24.92,5,-2,,
24.94,5,-2,,
24.96,5,-2,,
24.98,5,-2,,
