sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony
10.52,345,810,,0,0
10.54,348,808,,0,0
10.56,352,806,,0,0
10.58,356,804,,0,0
10.6,359,802,,322,775
10.62,368,798,,0,0
10.64,373,798,,397,795
10.66,377,797,,0,0
10.68,381,795,,0,0
10.7,385,794,,0,0
10.72,389,791,,0,0
10.74,398,786,,0,0
10.76,402,784,,0,0
10.78,406,782,,0,0
10.8,410,779,,0,0
10.82,414,777,,0,0
10.84,422,772,,0,0
10.86,424,769,,465,774
10.88,424,767,,0,0
10.9,424,764,,0,0
10.92,424,761,,0,0
10.94,426,756,,0,0
10.96,424,753,,0,0
10.98,424,750,,465,727
11,425,747,,0,0
11.02,425,745,,0,0
11.04,425,743,,0,0
11.06,426,738,,0,0
11.08,426,735,,0,0
11.1,426,732,,0,0
11.12,426,730,,0,0
11.14,426,727,,0,0
11.16,426,721,,0,0
11.18,426,719,,0,0
11.2,426,716,,0,0
11.22,426,713,,0,0
11.24,426,711,,0,0
11.26,426,708,,0,0
11.28,426,702,,466,680
11.3,426,699,,0,0
11.32,426,695,,0,0
11.34,426,692,,0,0
11.36,426,690,,0,0
11.38,426,684,,0,0
11.4,426,681,,0,0
11.42,426,678,,0,0
11.44,426,676,,0,0
11.46,426,673,,0,0
11.48,426,667,,0,0
11.5,426,665,,0,0
11.52,426,662,,0,0
11.54,426,659,,0,0
11.56,426,657,,466,632
11.58,426,654,,0,0
11.6,426,648,,0,0
11.62,426,645,,0,0
11.64,426,642,,0,0
11.66,426,640,,0,0
11.68,426,637,,0,0
11.7,426,631,,0,0
11.72,426,628,,0,0
11.74,426,626,,0,0
11.76,426,623,,0,0
11.78,426,620,,0,0
11.8,426,614,,0,0
11.82,426,612,,0,0
11.84,425,609,,466,584
11.86,426,606,,0,0
11.88,426,603,,0,0
11.9,426,600,,0,0
11.92,426,594,,0,0
11.94,425,592,,0,0
11.96,425,589,,0,0
11.98,425,586,,0,0
12,425,584,,0,0
12.02,426,578,,0,0
12.04,425,575,,0,0
12.06,425,572,,0,0
12.08,425,570,,0,0
12.1,425,567,,0,0
12.12,426,564,,0,0
12.14,425,564,,393,537
12.16,425,564,,0,0
12.18,424,564,,0,0
12.2,424,564,,0,0
12.22,424,564,,0,0
12.24,425,564,,0,0
12.26,423,564,,0,0
12.28,423,564,,0,0
12.3,423,564,,0,0
12.32,423,564,,0,0
12.34,425,564,,0,0
12.36,423,564,,0,0
12.38,423,564,,0,0
12.4,423,564,,0,0
12.42,423,564,,0,0
12.44,424,564,,0,0
12.46,423,564,,0,0
12.48,423,564,,0,0
12.5,423,564,,0,0
12.52,422,564,,0,0
12.54,422,564,,0,0
12.56,423,564,,0,0
12.58,423,564,,0,0
12.6,422,564,,0,0
12.62,423,564,,0,0
12.64,423,564,,466,584
12.66,423,564,,466,584
12.68,422,564,,0,0
12.7,423,564,,0,0
12.72,423,564,,0,0
12.74,423,564,,0,0
12.76,423,564,,0,0
12.78,423,564,,0,0
12.8,422,564,,0,0
12.82,422,564,,0,0
12.84,422,564,,0,0
12.86,423,564,,466,584
12.88,422,564,,466,584
12.9,422,564,,0,0
12.92,422,564,,0,0
12.94,423,564,,466,584
12.96,423,564,,0,0
12.98,423,564,,0,0
13,424,564,,0,0
13.02,424,564,,0,0
13.04,424,564,,0,0
13.06,424,564,,0,0
13.08,424,564,,0,0
13.1,424,564,,0,0
13.12,424,564,,0,0
13.14,424,564,,0,0
13.16,424,564,,0,0
13.18,424,564,,0,0
13.2,424,564,,0,0
13.22,424,564,,0,0
13.24,423,564,,0,0
13.26,423,564,,0,0
13.28,423,564,,0,0
13.3,423,564,,0,0
13.32,422,564,,0,0
13.34,422,564,,0,0
13.36,421,564,,466,584
13.38,421,564,,0,0
13.4,420,564,,0,0
13.42,419,564,,0,0
13.44,419,564,,0,0
13.46,418,564,,0,0
13.48,418,564,,0,0
13.5,417,564,,0,0
13.52,416,564,,0,0
13.54,415,564,,0,0
13.56,415,564,,0,0
13.58,414,564,,0,0
13.6,413,564,,0,0
13.62,412,564,,0,0
13.64,411,564,,0,0
13.66,410,564,,0,0
13.68,409,564,,0,0
13.7,408,564,,0,0
13.72,407,564,,0,0
13.74,406,564,,0,0
13.76,404,564,,0,0
13.78,403,564,,0,0
