sep=,
Time,x-Position,y-Position,SplitTimes,Collision
16.08,149,-237,,
16.1,150,-238,,
16.12,151,-239,,
16.14,152,-240,,
16.16,154,-242,,
16.18,155,-243,,
16.2,156,-243,,
16.22,157,-244,,
16.24,158,-245,,
16.26,159,-246,,
16.28,160,-247,,
16.3,162,-248,,
16.32,163,-249,,
16.34,164,-249,,
16.36,165,-250,,
16.38,166,-250,,
16.4,168,-252,,
16.42,169,-252,,
16.44,170,-253,,
16.46,172,-253,,
16.48,173,-253,,
16.5,174,-254,,
16.52,176,-254,,
16.54,177,-255,,
16.56,178,-255,,
16.58,180,-255,,
16.6,181,-255,,
16.62,183,-256,,
16.64,185,-256,,
16.66,186,-256,,
16.68,187,-256,,
16.7,188,-256,,
16.72,191,-256,,
16.74,192,-256,,
16.76,193,-256,,
16.78,195,-256,,
16.8,196,-256,,
16.82,197,-256,,
16.84,200,-256,,
16.86,201,-255,,
16.88,203,-255,,
16.9,204,-255,,
16.92,205,-255,,
16.94,208,-254,,
16.96,210,-254,,
16.98,211,-253,,
17,212,-253,,
17.02,214,-252,,
17.04,217,-252,,
17.06,218,-251,,
17.08,220,-251,,
17.1,221,-250,,
17.12,223,-249,,
17.14,224,-249,,
17.16,227,-247,,
17.18,229,-247,,
17.2,230,-246,,
17.22,232,-245,,
17.24,233,-244,,
17.26,236,-243,,
17.28,238,-242,,
17.3,239,-241,,
17.32,241,-240,,
17.34,242,-239,,
17.36,245,-237,,
17.38,247,-236,,
17.4,249,-235,,
17.42,250,-234,,
17.44,252,-233,,
17.46,253,-232,,
17.48,257,-230,,
17.5,258,-228,,
17.52,260,-227,,
17.54,261,-226,,
17.56,263,-225,,
17.58,266,-222,,
17.6,268,-221,,
17.62,270,-219,,
17.64,271,-218,,
17.66,273,-216,,
17.68,276,-213,,
17.7,278,-212,,
17.72,279,-210,,
17.74,281,-209,,
17.76,283,-207,,
17.78,284,-205,,
17.8,288,-202,,
17.82,289,-200,,
17.84,291,-199,,
17.86,293,-197,,
17.88,295,-195,,
17.9,298,-192,,
17.92,300,-190,,
17.94,301,-188,,
17.96,303,-186,,
17.98,305,-184,,
18,308,-180,,
18.02,310,-178,,
18.04,311,-176,,
18.06,313,-174,,
18.08,315,-172,,
18.1,317,-169,,
18.12,320,-165,,
18.14,322,-163,,
18.16,323,-161,,
18.18,325,-158,,
18.2,327,-156,,
18.22,330,-151,,
18.24,332,-149,,
18.26,334,-147,,
18.28,335,-144,,
18.3,337,-142,,
18.32,339,-139,,
18.34,342,-134,,
18.36,344,-132,,
18.38,346,-129,,
18.4,347,-127,,
18.42,349,-124,,
18.44,352,-119,,
18.46,354,-116,,
18.48,356,-113,,
18.5,357,-110,,
18.52,359,-107,,
18.54,362,-102,,
18.56,364,-99,,
18.58,365,-96,,
18.6,367,-93,,
18.62,369,-90,,
18.64,370,-87,,
18.66,374,-81,,
18.68,375,-78,,
18.7,377,-74,,
18.72,379,-71,,
18.74,380,-68,,
18.76,382,-65,,
18.78,384,-61,,
18.8,387,-55,,
18.82,388,-51,,
18.84,390,-48,,
18.86,391,-45,,
18.88,393,-41,,
18.9,396,-35,,
18.92,397,-31,,
18.94,398,-28,,
18.96,400,-24,,
18.98,401,-21,,
19,404,-14,,
19.02,405,-10,,
19.04,407,-6,,
19.06,408,-3,,
19.08,409,1,,
19.1,411,5,,
19.12,413,12,,
19.14,414,16,,
19.16,415,20,,
19.18,417,24,,
19.2,418,27,,
19.22,420,35,,
19.24,421,39,,
19.26,422,43,,
19.28,423,47,,
19.3,424,51,,
19.32,425,59,,
19.34,426,63,,
19.36,427,67,,
19.38,427,71,,
19.4,428,75,,
19.42,429,79,,
19.44,429,87,,
19.46,430,90,Wall_415_102,
19.48,430,90,,
19.5,430,90,,
19.52,430,90,,
19.54,430,90,,
19.56,430,90,,
19.58,430,90,,
19.6,429,90,,
19.62,429,90,,
19.64,428,90,,
19.66,427,90,,
19.68,426,90,,
19.7,425,90,,
19.72,424,90,,
19.74,423,90,,
19.76,421,90,,
19.78,419,90,,
19.8,418,90,,
19.82,417,90,,
19.84,415,90,,
19.86,412,90,,
19.88,407,91,,
19.9,401,96,,
19.92,397,100,,
19.94,395,103,,
19.96,392,111,,
19.98,390,115,,
20,388,118,,
20.02,387,122,,
20.04,385,125,,
20.06,384,129,,
20.08,382,136,,
20.1,388,138,Wall_417_147,
20.12,393,140,,
20.14,398,141,,
20.16,403,143,,
20.18,409,148,,
20.2,417,149,,
20.22,423,150,,
