sep=,
Time,x-Position,y-Position,Distance,Collision
20.08,2,3,50.42097,
20.1,2,3,50.29274,
20.12,2,3,50.1659,
20.14,2,3,50.04045,
20.16,2,3,49.79199,
20.18,2,3,49.6691,
20.2,2,3,49.54713,
20.22,2,3,49.42609,
20.24,2,3,49.24578,
20.26,2,3,49.12708,
20.28,2,3,49.00933,
20.3,2,3,48.77664,
20.32,2,3,48.66187,
20.34,2,3,48.49879,
20.36,2,3,48.30488,
20.38,2,3,48.09324,
20.4,2,3,47.73111,
20.42,2,3,47.48359,
20.44,2,3,47.23857,
20.46,2,3,46.75702,
20.48,2,3,46.52059,
20.5,2,3,46.29208,
20.52,2,3,46.0741,
20.54,2,3,45.86334,
20.56,2,3,45.55334,
20.58,2,3,45.35331,
20.6,2,3,44.9599,
20.62,2,3,44.76562,
20.64,2,3,44.57259,
20.66,2,3,44.38064,
20.68,2,3,44.18965,
20.7,2,3,43.99952,
20.72,2,3,43.68861,
20.74,2,3,43.5005,
20.76,2,3,43.12637,
20.78,2,3,42.94031,
20.8,2,3,42.75494,
20.82,2,3,42.57022,
20.84,2,3,42.38618,
20.86,2,3,42.20282,
20.88,2,3,41.92119,
20.9,2,3,41.73957,
20.92,2,3,41.37842,
20.94,2,3,41.19892,
20.96,2,3,41.02013,
20.98,2,3,40.84208,
21,2,3,40.66475,
21.02,3,3,40.48819,
21.04,3,3,40.21347,
21.06,3,3,39.86504,
21.08,3,3,39.69203,
21.1,3,3,39.51983,Checkpoint 2
21.12,3,3,39.34842,
21.14,3,3,39.17785,
21.16,3,3,38.83924,
21.18,3,3,38.83924,
21.2,3,3,38.43353,
21.22,3,3,38.26762,
21.24,3,3,38.10263,
21.26,3,3,37.93855,
21.28,3,3,37.77538,
21.3,3,3,37.45185,
21.32,3,3,37.29153,
21.34,3,3,37.29153,
21.36,3,3,36.88702,
21.38,3,3,36.7302,
21.4,3,3,36.57438,
21.42,3,3,36.41884,Checkpoint 2
21.44,3,3,36.11319,Checkpoint 2
21.46,3,3,35.96158,
21.48,3,3,35.81104,
21.5,3,3,35.59906,
21.52,3,3,35.45121,
21.54,3,3,35.30449,
21.56,3,3,35.1589,
21.58,3,3,34.87123,
21.6,3,3,34.72918,
21.62,3,3,34.58832,
21.64,3,3,34.44867,
21.66,3,3,34.23876,
21.68,3,3,34.10225,
21.7,3,3,33.96701,
21.72,3,3,33.83305,
21.74,3,3,33.56905,
21.76,3,3,33.43904,
21.78,3,3,33.31038,
21.8,3,3,33.18287,
21.82,3,3,33.0032,
21.84,3,3,32.87926,
21.86,3,3,32.75676,
21.88,3,3,32.51604,
