sep=,
Time,x-Position,y-Position,SplitTimes,Distance,Collision
3.86,444,647,,
3.88,432,651,,
3.9,425,652,,
3.92,418,654,,
3.94,412,656,,
3.96,405,657,,
3.98,393,661,,
4,386,662,,
4.02,379,664,,
4.04,372,665,,
4.06,366,667,,
4.08,353,670,,
4.1,347,671,,
4.12,340,673,,
4.14,334,674,,
4.16,327,675,,
4.18,320,676,,
4.2,308,679,,
4.22,301,680,,
4.24,295,682,,
4.26,288,683,,
4.28,282,684,,
4.3,269,686,,
4.32,263,687,,
4.34,257,688,,
4.36,250,689,,
4.38,244,690,,
4.4,237,691,,
4.42,225,693,,
4.44,219,694,,
4.46,213,695,,
4.48,207,696,,
4.5,201,697,,
4.52,189,698,,
4.54,183,699,,
4.56,177,700,,
4.58,171,700,,
4.6,165,701,,
4.62,153,703,,
4.64,148,703,,
4.66,142,704,,
4.68,136,704,,
4.7,130,705,,
4.72,119,706,,
4.74,114,707,,
4.76,108,707,,
4.78,103,707,,
4.8,97,708,,
4.82,92,708,,
4.84,86,709,,
4.86,86,709,,
4.88,86,710,,
4.9,86,710,,
4.92,86,710,,
4.94,86,711,,
4.96,86,711,,
4.98,86,711,,
5,86,711,,
5.02,86,711,,
5.04,86,712,,
5.06,86,712,,
5.08,86,712,,
5.1,86,712,,
5.12,86,712,,
5.14,86,712,,
5.16,86,712,,
5.18,86,712,,
5.2,86,712,,
5.22,86,712,,
5.24,86,712,,
5.26,86,712,,
5.28,86,712,,
5.3,86,711,,
5.32,86,711,,
5.34,86,711,,
5.36,86,710,,
5.38,86,710,,
5.4,86,710,,
5.42,86,709,,
5.44,86,709,,
5.46,86,709,,
5.48,86,708,,
5.5,86,708,,
5.52,86,707,,
5.54,86,707,,
5.56,86,706,,
5.58,86,705,,
5.6,86,705,,
5.62,86,704,,
5.64,86,703,,
5.66,86,703,,
5.68,86,702,,
5.7,86,701,,
5.72,86,700,,
5.74,86,699,,
5.76,86,699,,
5.78,86,698,,
5.8,86,697,,
5.82,86,696,,
5.84,86,695,,
5.86,86,694,,
5.88,86,693,,
5.9,86,692,,
5.92,86,691,,
5.94,86,690,,
5.96,86,689,,
5.98,86,688,,
6,86,686,,
6.02,86,685,,
6.04,86,684,,
6.06,86,682,,
6.08,86,681,,
6.1,86,680,,
6.12,86,678,,
6.14,86,677,,
6.16,86,676,,
6.18,86,674,,
6.2,86,673,,
6.22,86,672,,
6.24,86,670,,
6.26,86,668,,
6.28,86,667,,
6.3,86,666,,
6.32,86,664,,
6.34,86,662,,
6.36,86,660,,
6.38,86,659,,
6.4,86,657,,
6.42,86,656,,
6.44,86,653,,
6.46,86,652,,
6.48,86,650,,
6.5,86,649,,
6.52,86,647,,
6.54,86,644,,
6.56,86,643,,
6.58,86,641,,
6.6,86,640,,
6.62,86,638,,
6.64,86,636,,
6.66,87,633,,
6.68,87,632,,
6.7,87,630,,
6.72,88,628,,
6.74,88,627,,
